Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,SE:A00002. Population Density (Per Sq. Mile),Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:,Less than High School,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty,At or Above Poverty Level,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3700160,,Aberdeen town,125,Moore,"7,862", ,774.8,10.15, ,849,723,277,116,434,"1,116","1,279",821,821,706,589,131,,"6,449","1,092",73,1,0,89,158, ,"7,524",338, ,"5,463",306,"1,271","1,917","1,380",505,66,18, ,"5,463",306,"3,188","1,969", ,"3,136",79,147,138,95,217,172,251,77,72,350,542,377,282,130,107,100, ,"$58,770 ", ,"$58,770 ","$62,137 ","$35,563 ", ,"$28,117 ", ,"3,136","2,107","1,029", ,"2,107","1,692",415, ,"2,107",0,0,153,358,"1,165",418,13,0,0, ,"1,962",100,"1,862", ,"4,462",378,"4,084", ,"1,313",61,"1,252",74,0.4803421,0.430322225,4.216024678,4.646346902
,,,,,, ,,, ,10.80%,9.20%,3.50%,1.50%,5.50%,14.20%,16.30%,10.40%,10.40%,9.00%,7.50%,1.70%,,82.00%,13.90%,0.90%,0.00%,0.00%,1.10%,2.00%, ,95.70%,4.30%, ,,5.60%,23.30%,35.10%,25.30%,9.20%,1.20%,0.30%, ,,5.60%,58.40%,36.00%, ,,2.50%,4.70%,4.40%,3.00%,6.90%,5.50%,8.00%,2.50%,2.30%,11.20%,17.30%,12.00%,9.00%,4.20%,3.40%,3.20%, ,, ,,,, ,, ,,67.20%,32.80%, ,,80.30%,19.70%, ,,0.00%,0.00%,7.30%,17.00%,55.30%,19.80%,0.60%,0.00%,0.00%, ,,5.10%,94.90%, ,,8.50%,91.50%, ,,4.70%,95.40%,,,,,
3700440,,Advance CDP,59,Davie,"1,135", ,158.5,7.16, ,141,116,87,33,0,139,102,182,183,87,65,0,,"1,105",30,0,0,0,0,0, ,"1,135",0, ,758,80,199,275,175,16,13,0, ,758,80,474,204, ,392,0,24,31,0,30,0,0,34,37,0,17,54,62,44,43,16, ,"$90,461 ", ,"$90,461 ","$90,691 ",, ,"$32,419 ", ,392,359,33, ,359,340,19, ,359,0,13,74,11,139,122,0,0,0, ,377,75,302, ,606,80,526, ,152,13,139,N/A,0.17855633,0.076369705,10.22308732,10.29945702
,,,,,, ,,, ,12.40%,10.20%,7.70%,2.90%,0.00%,12.30%,9.00%,16.00%,16.10%,7.70%,5.70%,0.00%,,97.40%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,10.60%,26.30%,36.30%,23.10%,2.10%,1.70%,0.00%, ,,10.60%,62.50%,26.90%, ,,0.00%,6.10%,7.90%,0.00%,7.70%,0.00%,0.00%,8.70%,9.40%,0.00%,4.30%,13.80%,15.80%,11.20%,11.00%,4.10%, ,, ,,,, ,, ,,91.60%,8.40%, ,,94.70%,5.30%, ,,0.00%,3.60%,20.60%,3.10%,38.70%,34.00%,0.00%,0.00%,0.00%, ,,19.90%,80.10%, ,,13.20%,86.80%, ,,8.60%,91.50%,,,,,
3700500,,Ahoskie town,91,Hertford,"4,819", ,1095,4.4, ,256,178,312,196,445,739,442,518,764,500,282,187,,"1,270","3,089",93,144,4,21,198, ,"4,654",165, ,"3,432",738,"1,159",937,407,147,35,9, ,"3,432",738,"2,096",598, ,"1,906",261,182,152,126,112,106,77,117,93,180,143,179,86,42,33,17, ,"$35,972 ", ,"$35,972 ","$51,875 ","$26,494 ", ,"$20,640 ", ,"1,906",791,"1,115", ,791,301,490, ,791,20,57,373,161,153,17,1,3,6, ,940,301,639, ,"2,841",623,"2,218", ,803,160,643,67,0.8588345,1.366874814,10.22262491,11.58949972
,,,,,, ,,, ,5.30%,3.70%,6.50%,4.10%,9.20%,15.30%,9.20%,10.80%,15.90%,10.40%,5.90%,3.90%,,26.40%,64.10%,1.90%,3.00%,0.10%,0.40%,4.10%, ,96.60%,3.40%, ,,21.50%,33.80%,27.30%,11.90%,4.30%,1.00%,0.30%, ,,21.50%,61.10%,17.40%, ,,13.70%,9.60%,8.00%,6.60%,5.90%,5.60%,4.00%,6.10%,4.90%,9.40%,7.50%,9.40%,4.50%,2.20%,1.70%,0.90%, ,, ,,,, ,, ,,41.50%,58.50%, ,,38.10%,62.00%, ,,2.50%,7.20%,47.20%,20.40%,19.30%,2.20%,0.10%,0.40%,0.80%, ,,32.00%,68.00%, ,,21.90%,78.10%, ,,19.90%,80.10%,,,,,
3700640,,Alamance village,1,Alamance,"1,280", ,1609.8,0.8, ,15,108,152,98,69,81,233,186,152,140,29,17,,"1,166",48,7,4,0,43,12, ,"1,237",43, ,838,31,158,271,252,94,21,11, ,838,31,429,378, ,419,0,5,7,9,7,15,10,9,2,22,75,64,35,43,79,37, ,"$89,688 ", ,"$89,688 ","$97,083 ",, ,"$37,828 ", ,419,397,22, ,397,367,30, ,397,14,2,34,26,82,219,20,0,0, ,373,0,373, ,721,4,717, ,186,6,180,68,0.15501492,1.441673338,4.644977897,6.086651234
,,,,,, ,,, ,1.20%,8.40%,11.90%,7.70%,5.40%,6.30%,18.20%,14.50%,11.90%,10.90%,2.30%,1.30%,,91.10%,3.80%,0.60%,0.30%,0.00%,3.40%,0.90%, ,96.60%,3.40%, ,,3.70%,18.90%,32.30%,30.10%,11.20%,2.50%,1.30%, ,,3.70%,51.20%,45.10%, ,,0.00%,1.20%,1.70%,2.20%,1.70%,3.60%,2.40%,2.20%,0.50%,5.30%,17.90%,15.30%,8.40%,10.30%,18.90%,8.80%, ,, ,,,, ,, ,,94.80%,5.30%, ,,92.40%,7.60%, ,,3.50%,0.50%,8.60%,6.60%,20.70%,55.20%,5.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,0.60%,99.50%, ,,3.20%,96.80%,,,,,
3700680,,Albemarle city,167,Stanly,"16,073", ,920.6,17.46, ,"1,008","1,324",876,449,"1,350","2,335","1,450","1,664","2,102","1,869","1,061",585,,"11,106","3,781",252,159,0,318,457, ,"14,902","1,171", ,"11,066","1,715","3,280","4,172","1,398",338,139,24, ,"11,066","1,715","7,452","1,899", ,"6,258",726,432,416,246,366,228,398,363,323,410,736,657,273,314,190,180, ,"$44,294 ", ,"$44,294 ","$66,227 ","$21,763 ", ,"$24,404 ", ,"6,258","3,493","2,765", ,"3,493","2,932",561, ,"3,493",43,154,"1,022",960,"1,088",165,45,0,16, ,"3,640","1,264","2,376", ,"8,783","1,697","7,086", ,"3,107",433,"2,674",87,0.67489682,0.636166577,7.190647351,7.826813928
,,,,,, ,,, ,6.30%,8.20%,5.50%,2.80%,8.40%,14.50%,9.00%,10.40%,13.10%,11.60%,6.60%,3.60%,,69.10%,23.50%,1.60%,1.00%,0.00%,2.00%,2.80%, ,92.70%,7.30%, ,,15.50%,29.60%,37.70%,12.60%,3.10%,1.30%,0.20%, ,,15.50%,67.30%,17.20%, ,,11.60%,6.90%,6.70%,3.90%,5.90%,3.60%,6.40%,5.80%,5.20%,6.60%,11.80%,10.50%,4.40%,5.00%,3.00%,2.90%, ,, ,,,, ,, ,,55.80%,44.20%, ,,83.90%,16.10%, ,,1.20%,4.40%,29.30%,27.50%,31.20%,4.70%,1.30%,0.00%,0.50%, ,,34.70%,65.30%, ,,19.30%,80.70%, ,,13.90%,86.10%,,,,,
