Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3700160,,Aberdeen town,125,Moore,"7,862",774.8,10.15, ,849,723,277,116,434,"1,116","1,279",821,821,706,589,131,,"6,449","1,092",73,1,0,89,158, ,"7,524",338, ,"5,463",306,"1,271","1,917","1,380",505,66,18, ,"5,463",306,"3,188","1,969", ,"3,136",79,147,138,95,217,172,251,77,72,350,542,377,282,130,107,100, ,"$58,770 ", ,"$58,770 ","$62,137 ","$35,563 ", ,"$28,117 ", ,"3,136","2,107","1,029", ,"2,107","1,692",415, ,"2,107",0,0,153,358,"1,165",418,13,0,0, ,"1,962",100,"1,862", ,"4,462",378,"4,084", ,"1,313",61,"1,252",74.0,0.4803421,0.430322225,4.216024678,4.646346902
3700440,,Advance CDP,59,Davie,"1,135",158.5,7.16, ,141,116,87,33,0,139,102,182,183,87,65,0,,"1,105",30,0,0,0,0,0, ,"1,135",0, ,758,80,199,275,175,16,13,0, ,758,80,474,204, ,392,0,24,31,0,30,0,0,34,37,0,17,54,62,44,43,16, ,"$90,461 ", ,"$90,461 ","$90,691 ",, ,"$32,419 ", ,392,359,33, ,359,340,19, ,359,0,13,74,11,139,122,0,0,0, ,377,75,302, ,606,80,526, ,152,13,139,,0.17855633,0.076369705,10.22308732,10.29945702
3700500,,Ahoskie town,91,Hertford,"4,819",1095,4.4, ,256,178,312,196,445,739,442,518,764,500,282,187,,"1,270","3,089",93,144,4,21,198, ,"4,654",165, ,"3,432",738,"1,159",937,407,147,35,9, ,"3,432",738,"2,096",598, ,"1,906",261,182,152,126,112,106,77,117,93,180,143,179,86,42,33,17, ,"$35,972 ", ,"$35,972 ","$51,875 ","$26,494 ", ,"$20,640 ", ,"1,906",791,"1,115", ,791,301,490, ,791,20,57,373,161,153,17,1,3,6, ,940,301,639, ,"2,841",623,"2,218", ,803,160,643,67.0,0.8588345,1.366874814,10.22262491,11.58949972
3700640,,Alamance village,1,Alamance,"1,280",1609.8,0.8, ,15,108,152,98,69,81,233,186,152,140,29,17,,"1,166",48,7,4,0,43,12, ,"1,237",43, ,838,31,158,271,252,94,21,11, ,838,31,429,378, ,419,0,5,7,9,7,15,10,9,2,22,75,64,35,43,79,37, ,"$89,688 ", ,"$89,688 ","$97,083 ",, ,"$37,828 ", ,419,397,22, ,397,367,30, ,397,14,2,34,26,82,219,20,0,0, ,373,0,373, ,721,4,717, ,186,6,180,68.0,0.15501492,1.441673338,4.644977897,6.086651234
3700680,,Albemarle city,167,Stanly,"16,073",920.6,17.46, ,"1,008","1,324",876,449,"1,350","2,335","1,450","1,664","2,102","1,869","1,061",585,,"11,106","3,781",252,159,0,318,457, ,"14,902","1,171", ,"11,066","1,715","3,280","4,172","1,398",338,139,24, ,"11,066","1,715","7,452","1,899", ,"6,258",726,432,416,246,366,228,398,363,323,410,736,657,273,314,190,180, ,"$44,294 ", ,"$44,294 ","$66,227 ","$21,763 ", ,"$24,404 ", ,"6,258","3,493","2,765", ,"3,493","2,932",561, ,"3,493",43,154,"1,022",960,"1,088",165,45,0,16, ,"3,640","1,264","2,376", ,"8,783","1,697","7,086", ,"3,107",433,"2,674",87.0,0.67489682,0.636166577,7.190647351,7.826813928
3700880,,Alexis CDP,71,Gaston,818,414.1,1.98, ,28,56,11,0,76,74,89,66,30,136,212,40,,661,129,0,10,0,0,18, ,806,12, ,647,52,223,359,9,0,0,4, ,647,52,582,13, ,358,0,28,9,16,4,119,6,12,23,21,58,30,0,32,0,0, ,"$36,250 ", ,"$36,250 ","$34,811 ",, ,"$23,289 ", ,358,310,48, ,310,274,36, ,310,0,4,44,64,150,48,0,0,0, ,95,0,95, ,335,48,287, ,388,20,368,,0.34714273,,,
3701000,,Alliance town,137,Pamlico,"1,104",529.2,2.09, ,84,25,17,69,116,75,29,102,129,232,119,107,,864,204,0,0,0,4,32, ,"1,034",70, ,793,172,307,265,39,10,0,0, ,793,172,572,49, ,440,54,84,21,11,47,6,18,13,14,78,37,19,10,19,7,2, ,"$32,500 ", ,"$32,500 ","$48,625 ","$11,797 ", ,"$19,872 ", ,440,321,119, ,321,266,55, ,321,18,40,106,51,100,6,0,0,0, ,195,20,175, ,451,100,351, ,400,87,313,56.0,0.91346351,9.793071741,19.26597137,29.05904311
3701140,,Altamahaw CDP,1,Alamance,369,271.9,1.36, ,8,7,61,12,16,70,0,52,103,29,0,11,,369,0,0,0,0,0,0, ,369,0, ,265,33,129,81,0,22,0,0, ,265,33,210,22, ,167,0,0,0,0,38,38,0,0,0,17,0,51,10,0,13,0, ,, ,,,, ,"$30,404 ", ,167,161,6, ,161,161,0, ,161,0,29,60,59,0,13,0,0,0, ,88,0,88, ,241,0,241, ,40,0,40,,0.4111345,0.758090796,11.57926262,12.33735341
3701340,,Anderson Creek CDP,85,Harnett,"14,899",764.1,19.5, ,"1,661","1,593","1,335",527,"1,019","2,680","2,101","1,808","1,195",595,337,48,,"8,776","3,890",214,226,89,570,"1,134", ,"12,126","2,773", ,"8,764",696,"1,871","3,674","1,490",846,114,73, ,"8,764",696,"5,545","2,523", ,"4,471",297,88,131,240,210,114,190,210,120,408,476,755,429,326,244,233, ,"$68,033 ", ,"$68,033 ","$74,596 ","$55,707 ", ,"$25,323 ", ,"4,471","2,913","1,558", ,"2,913","1,701","1,212", ,"2,913",162,129,331,283,"1,596",387,24,1,0, ,"5,063","1,153","3,910", ,"8,803","1,045","7,758", ,980,102,878,,0.46072597,0.202254336,3.387935094,3.590189431
3701380,,Andrews town,39,Cherokee,"1,915","1,112.60",1.72, ,76,106,218,97,217,74,208,303,140,264,152,60,,"1,745",94,60,0,0,14,2, ,"1,741",174, ,"1,201",254,436,403,68,33,0,7, ,"1,201",254,839,108, ,789,85,59,96,76,92,31,0,12,59,131,15,72,16,20,8,17, ,"$29,612 ", ,"$29,612 ","$29,478 ","$33,182 ", ,"$18,938 ", ,789,477,312, ,477,424,53, ,477,83,19,179,104,83,9,0,0,0, ,473,275,198, ,934,223,711, ,421,79,342,46.0,0.8127151,5.790987995,14.96417156,20.75515955
