Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3700160.00,,Aberdeen town,125,Moore
3700440.00,,Advance CDP,59,Davie
3700500.00,,Ahoskie town,91,Hertford
3700640.00,,Alamance village,1,Alamance
3700680.00,,Albemarle city,167,Stanly
3700880.00,,Alexis CDP,71,Gaston
3701000.00,,Alliance town,137,Pamlico
3701140.00,,Altamahaw CDP,1,Alamance
3701340.00,,Anderson Creek CDP,85,Harnett
3701380.00,,Andrews town,39,Cherokee
3701400.00,,Angier town,85,Harnett
3701420.00,,Ansonville town,7,Anson
3701520.00,,Apex town,183,Wake
3701560.00,,Aquadale CDP,167,Stanly
3701640.00,,Arapahoe town,137,Pamlico
3701720.00,,Archdale city,"81, 151","Guilford, Randolph"
3701760.00,,Archer Lodge town,101,Johnston
3701972.00,,Arrowhead Beach CDP,41,Chowan
3702080.00,,Asheboro city,151,Randolph
3702140.00,,Asheville city,21,Buncombe
3702240.00,,Ashley Heights CDP,93,Hoke
3702320.00,,Askewville town,15,Bertie
3702460.00,,Atkinson town,141,Pender
3702480.00,,Atlantic CDP,31,Carteret
3702500.00,,Atlantic Beach town,31,Carteret
3702580.00,,Aulander town,15,Bertie
3702620.00,,Aurora town,13,Beaufort
3702700.00,,Autryville town,163,Sampson
3702760.00,,Avery Creek CDP,21,Buncombe
3702780.00,,Avon CDP,55,Dare
3702840.00,,Ayden town,147,Pitt
3702960.00,,Badin town,167,Stanly
3703020.00,,Bailey town,127,Nash
3703100.00,,Bakersville town,121,Mitchell
3703150.00,,Bald Head Island village,19,Brunswick
3703220.00,,Balfour CDP,89,Henderson
3703500.00,,Banner Elk town,11,Avery
3703640.00,,Barker Heights CDP,89,Henderson
3703665.00,,Barker Ten Mile CDP,155,Robeson
3703720.00,,Barnardsville CDP,21,Buncombe
3703840.00,,Bath town,13,Beaufort
3703960.00,,Bayboro town,137,Pamlico
3704015.00,,Bayshore CDP,129,New Hanover
3704040.00,,Bayview CDP,13,Beaufort
3704180.00,,Bear Grass town,117,Martin
3704260.00,,Beaufort town,31,Carteret
3704510.00,,Beech Mountain town,"11, 189","Avery, Watauga"
3704640.00,,Belhaven town,13,Beaufort
